date_utc,rollup_id,batch_submissions_eth,proof_submissions_eth,state_updates_eth,execution_base_fee_burn_eth,execution_priority_fee_eth,blob_fee_burn_eth,rent_paid_eth
2022-01-25,arbitrum,41.050093891117932768,0,0,40.643631048916711516,0.406462842201221252,0,41.050093891117932768
2022-01-25,optimism,23.945430661,0,8.727880929,30.202057326787580839,2.471254263212419161,0,32.67331159
2022-01-26,arbitrum,50.758047745857489442,0,0,50.280995982047917642,0.4770517638095718,0,50.758047745857489442
2022-01-26,optimism,27.449069527,0,10.485766969,34.969654282393632057,2.965182213606367943,0,37.934836496
2022-01-26,starknet,0,0,0.094429695175593859,0.093764995175593859,0.0006647,0,0.094429695175593859
2022-01-27,arbitrum,41.629529919989656855,0,0,41.276239858669046102,0.353290061320610753,0,41.629529919989656855
2022-01-27,optimism,29.188969764,0,9.438281106,35.860092561351177323,2.767158308648822677,0,38.62725087
2022-01-27,starknet,0,0,0.114209739854469974,0.113120192854469974,0.001089547,0,0.114209739854469974
2022-01-28,arbitrum,33.435927955757699825,0,0,33.132718895049354312,0.303209060708345513,0,33.435927955757699825
2022-01-28,optimism,23.54314155,0,7.259432361,28.43372743197680891,2.36884647902319109,0,30.802573911
